job_id,starting_salary,tenure_months,churned_within_1yr
2,79095.83,23,False
10,98917.21,18,False
14,87016.68,10,True
16,89852.34,11,True
17,65377.76,9,True
20,77941.3,13,False
30,70187.11,9,True
34,100136.36,14,False
37,88896.31,4,True
39,85628.67,3,True
40,81202.44,14,False
46,59363.44,22,False
53,85135.06,18,False
54,101028.0,13,False
55,83920.98,12,False
57,84604.93,20,False
60,74530.77,7,True
61,83980.99,8,True
62,95238.44,2,True
63,102371.3,12,False
68,92972.39,24,False
69,80847.4,20,False
70,83836.2,10,True
79,99221.44,20,False
98,94155.55,14,False
105,82709.05,3,True
118,76121.2,9,True
124,82944.77,2,True
126,84264.34,15,False
128,100225.0,2,True
131,70615.53,0,True
132,78798.52,21,False
143,90849.26,8,True
145,90129.45,0,True
146,97271.06,0,True
157,91171.18,13,False
158,84316.75,8,True
160,106157.05,14,False
166,92782.41,15,False
167,108174.45,6,True
174,94033.87,17,False
176,107629.31,5,True
178,81643.71,10,True
180,95129.54,8,True
184,59138.87,17,False
192,94267.33,23,False
194,90549.75,8,True
198,85616.73,23,False
200,82438.07,8,True
203,97701.52,4,True
205,76754.67,22,False
207,68781.81,10,True
208,83867.22,16,False
214,98337.31,17,False
218,85243.1,2,True
221,99779.1,17,False
223,75448.59,2,True
225,87927.35,0,True
228,80978.03,13,False
230,85945.36,24,False
232,97465.1,22,False
234,89733.33,5,True
236,74649.92,1,True
244,57532.08,6,True
251,95492.24,11,True
257,65809.52,7,True
265,77048.17,23,False
268,44250.0,8,True
269,86711.78,1,True
270,98687.52,9,True
271,73949.76,18,False
272,70700.18,0,True
281,76375.08,9,True
283,94121.06,11,True
291,85070.74,12,False
297,106893.12,18,False
300,67645.97,2,True
308,49977.34,2,True
309,50668.03,20,False
311,82600.92,21,False
314,93767.86,19,False
317,104902.4,18,False
321,62558.45,6,True
323,62874.5,3,True
330,63162.15,0,True
331,93425.18,18,False
333,105762.18,3,True
335,114805.21,6,True
336,87317.99,11,True
337,90106.13,23,False
340,69180.78,1,True
341,61659.6,14,False
344,49293.68,17,False
350,86973.16,2,True
353,67458.44,0,True
357,93978.4,3,True
360,76426.74,15,False
363,88820.29,15,False
369,94835.21,11,True
370,105670.1,11,True
373,84334.6,15,False
377,92011.37,20,False
379,113955.13,24,False
393,86009.16,20,False
394,83412.92,11,True
398,75693.73,15,False
400,70268.82,4,True
402,91404.23,18,False
413,75894.31,0,True
415,59540.56,2,True
416,70805.08,23,False
418,101466.9,10,True
424,84024.78,10,True
428,77445.57,7,True
429,81918.52,11,True
430,65685.81,2,True
432,75097.74,10,True
434,109034.82,0,True
446,75201.79,18,False
449,60737.98,14,False
463,75356.5,19,False
466,89475.58,15,False
478,94457.89,9,True
481,112002.76,15,False
486,69027.83,9,True
487,92142.56,23,False
488,58964.38,16,False
504,90950.45,9,True
507,78472.92,7,True
509,73946.48,24,False
511,78924.83,5,True
515,70935.88,8,True
516,84179.37,9,True
519,89864.8,10,True
522,103383.9,2,True
527,80211.8,3,True
531,87204.08,22,False
542,84752.78,1,True
543,91706.78,15,False
544,81282.66,11,True
546,90565.78,10,True
550,96819.13,3,True
557,61488.21,3,True
562,68214.81,19,False
563,59978.17,20,False
569,106757.63,22,False
574,93785.37,22,False
576,73116.9,16,False
578,96820.19,8,True
585,117790.97,22,False
586,49010.35,24,False
587,86611.95,6,True
590,84662.22,3,True
594,71734.31,21,False
598,102101.77,14,False
601,62947.32,14,False
602,103310.62,5,True
610,62183.42,23,False
619,76788.89,0,True
622,83943.09,24,False
629,104778.13,18,False
632,98536.3,22,False
634,69421.93,24,False
636,89933.11,20,False
638,75265.0,10,True
639,91022.55,1,True
644,102289.27,1,True
645,104233.03,10,True
648,94431.16,3,True
649,75562.37,11,True
653,108040.87,7,True
655,93997.45,2,True
660,85986.75,5,True
668,77486.2,3,True
671,102597.65,9,True
678,100247.56,11,True
682,109850.72,23,False
685,81931.24,12,False
688,89062.31,16,False
689,89947.01,5,True
692,75098.57,21,False
694,99308.84,12,False
699,93405.63,23,False
702,65333.13,15,False
708,88650.2,12,False
713,65480.04,7,True
718,84284.33,15,False
722,93776.45,24,False
726,91768.19,17,False
727,110956.02,12,False
738,107411.92,18,False
745,95528.46,1,True
748,72153.28,2,True
750,48624.34,18,False
753,94091.77,6,True
754,84014.2,22,False
755,92255.05,4,True
758,93529.72,21,False
764,101462.77,24,False
765,68096.13,20,False
772,62182.94,19,False
773,81884.32,18,False
774,100482.52,22,False
785,80767.36,19,False
793,86566.57,22,False
794,66304.21,9,True
800,87665.94,13,False
801,99964.58,24,False
807,82298.25,20,False
809,99796.05,0,True
815,97836.4,11,True
816,99664.98,24,False
817,74674.99,9,True
824,92480.35,17,False
826,100538.74,16,False
834,101992.78,6,True
836,77101.91,19,False
840,88453.88,14,False
841,50500.18,22,False
842,94837.51,16,False
843,92434.76,19,False
845,78359.15,9,True
849,98370.28,18,False
850,78900.15,20,False
851,103865.17,18,False
859,79601.7,17,False
862,67434.95,18,False
867,101790.55,22,False
871,78545.45,0,True
873,114107.05,5,True
879,94025.34,9,True
881,95144.81,15,False
888,87895.51,2,True
893,68725.09,19,False
896,92289.3,8,True
902,63928.96,19,False
906,84117.12,22,False
913,83807.52,15,False
916,98212.1,11,True
919,77153.74,18,False
928,77864.39,14,False
931,89440.76,10,True
939,77978.25,14,False
951,86227.04,20,False
952,50775.42,17,False
953,76245.23,9,True
960,82961.81,12,False
962,76459.86,7,True
963,74234.15,18,False
968,54041.39,24,False
971,89190.67,11,True
973,102660.29,14,False
975,77399.36,6,True
979,92100.78,10,True
980,59538.0,0,True
993,83709.22,3,True
997,76075.83,12,False
1016,98049.43,16,False
1019,56620.12,17,False
1020,100230.09,18,False
1024,63787.92,22,False
1029,70383.21,17,False
1031,73734.6,6,True
1032,65490.49,14,False
1035,48749.0,8,True
1042,117361.3,4,True
1046,96184.36,12,False
1052,105542.83,13,False
1053,78884.01,22,False
1054,90826.23,0,True
1056,97997.23,24,False
1057,90161.72,22,False
1060,100263.43,4,True
1062,95853.74,4,True
1066,68044.23,5,True
1076,81416.11,24,False
1082,78742.01,4,True
1087,103862.7,4,True
1088,94118.4,23,False
1096,115936.42,20,False
1098,108896.0,8,True
1100,80200.05,13,False
1105,71294.42,23,False
1106,105277.66,19,False
1115,81644.65,6,True
1117,95014.62,24,False
1118,67735.15,17,False
1119,84139.42,16,False
1121,81173.74,14,False
1123,118735.85,20,False
1135,72496.03,7,True
1141,95132.65,10,True
1145,77197.11,18,False
1147,87793.38,14,False
1149,80679.74,13,False
1168,100793.8,1,True
1169,66639.43,2,True
1175,92553.0,15,False
1179,69556.74,0,True
1180,82756.85,17,False
1183,81925.87,20,False
1195,63954.4,16,False
1199,56433.16,0,True
1200,65938.19,21,False
1211,63525.04,20,False
1214,81072.47,16,False
1215,108539.76,12,False
1216,104215.25,1,True
1222,98617.91,20,False
1227,85362.75,0,True
1229,50304.1,16,False
1237,89966.87,23,False
1238,105577.72,13,False
1245,77572.38,13,False
1247,87945.54,1,True
1248,94793.02,4,True
1249,85380.45,14,False
1251,76145.51,24,False
1252,107702.9,18,False
1258,100766.35,2,True
1259,85311.54,1,True
1260,96716.12,3,True
1266,84271.4,20,False
1278,69494.79,15,False
1279,82918.77,9,True
1282,90772.6,0,True
1283,100971.13,5,True
1284,97912.49,2,True
1285,90051.12,12,False
1287,81436.14,13,False
1292,100903.71,21,False
1296,96847.0,11,True
1302,68246.01,20,False
1307,95181.59,15,False
1309,42429.35,21,False
1313,82773.75,7,True
1314,82813.55,5,True
1315,107937.06,7,True
1317,106310.68,14,False
1322,83349.92,12,False
1324,98179.82,1,True
1325,61355.37,5,True
1330,106516.89,14,False
1334,74003.86,15,False
1335,87215.81,8,True
1336,82499.74,9,True
1337,70789.6,3,True
1340,125648.64,20,False
1342,84204.52,15,False
1348,83265.43,1,True
1352,90839.78,6,True
1353,113769.61,11,True
1356,73372.2,5,True
1357,80575.99,23,False
1360,87798.86,14,False
1361,84780.17,9,True
1362,88495.63,6,True
1363,42818.37,2,True
1366,95249.57,20,False
1373,70712.33,24,False
1376,67463.06,22,False
1384,74876.63,10,True
1387,84429.83,20,False
1388,59124.26,11,True
1390,70042.53,3,True
1392,65207.42,5,True
1394,79357.77,12,False
1398,103396.85,3,True
1399,96665.61,0,True
1417,95146.05,5,True
1419,89339.41,15,False
1422,97157.87,1,True
1423,78877.52,21,False
1425,119204.81,14,False
1436,71104.94,5,True
1438,88055.18,8,True
1443,37301.95,2,True
1447,100504.8,23,False
1453,97016.08,11,True
1454,77918.29,0,True
1460,77621.11,19,False
1463,86353.5,18,False
1464,77256.49,5,True
1469,82545.25,14,False
1470,83653.81,11,True
1471,98712.9,23,False
1474,66933.03,22,False
1475,113269.54,24,False
1481,86090.94,18,False
1482,62066.09,17,False
1484,76093.11,10,True
1486,93090.1,14,False
1487,71968.34,9,True
1494,91794.41,4,True
1496,100123.68,5,True
1502,114694.65,23,False
1508,85969.52,17,False
1511,114009.23,2,True
1513,106167.34,4,True
1523,100011.48,11,True
1524,69789.12,5,True
1528,49951.13,12,False
1531,68977.13,15,False
1532,85682.32,0,True
1537,93135.53,23,False
1540,72543.33,14,False
1541,75785.15,14,False
1549,87973.38,11,True
1552,96659.59,4,True
1557,82262.18,16,False
1564,93944.57,4,True
1572,82125.92,5,True
1575,97923.98,0,True
1579,86647.34,8,True
1582,93795.28,20,False
1583,107202.54,6,True
1588,67890.49,20,False
1592,85302.22,14,False
1595,103898.3,14,False
1599,74000.58,12,False
1602,99151.76,15,False
1608,84617.13,8,True
1610,85728.25,12,False
1612,80786.88,14,False
1621,68661.76,18,False
1623,93901.01,24,False
1626,79804.66,3,True
1629,77164.03,5,True
1640,114294.17,14,False
1641,85704.04,7,True
1643,72274.5,9,True
1647,82911.01,10,True
1649,79990.5,18,False
1650,52813.62,22,False
1652,96586.38,22,False
1665,50142.12,13,False
1670,98968.13,12,False
1671,71595.21,12,False
1678,86623.99,18,False
1682,106181.65,18,False
1693,87593.52,22,False
1694,85705.59,24,False
1698,95543.59,16,False
1699,77572.45,3,True
1701,79311.78,8,True
1711,61868.32,17,False
1715,68190.34,7,True
1717,101264.85,1,True
1718,51797.02,7,True
1727,76168.47,5,True
1728,84565.98,19,False
1729,84999.05,13,False
1730,84599.44,1,True
1732,79650.1,0,True
1748,89511.72,24,False
1753,71378.39,20,False
1754,89575.51,13,False
1756,68028.21,7,True
1757,90350.19,19,False
1763,66611.92,5,True
1765,80930.69,13,False
1767,102978.95,22,False
1768,87441.83,2,True
1770,64209.94,23,False
1771,79929.57,3,True
1772,58728.66,4,True
1773,81115.86,9,True
1774,78400.25,24,False
1778,85731.36,21,False
1784,78637.76,2,True
1809,85846.43,9,True
1812,92251.46,2,True
1814,81046.02,24,False
1818,87646.32,16,False
1819,103935.95,18,False
1821,81145.95,3,True
1827,63312.54,8,True
1828,97527.43,7,True
1837,79899.7,4,True
1845,89222.07,3,True
1846,98363.63,23,False
1849,78190.2,12,False
1850,97017.62,24,False
1852,87554.68,17,False
1855,111305.89,2,True
1857,77559.17,21,False
1858,111147.28,6,True
1860,88328.5,2,True
1862,92884.91,18,False
1863,82441.41,21,False
1870,81790.17,18,False
1871,92814.04,10,True
1892,77637.86,24,False
1899,68306.19,16,False
1905,80829.88,24,False
1913,77506.04,21,False
1920,86842.9,18,False
1923,105379.22,2,True
1926,87709.75,24,False
1929,89267.67,11,True
1932,57608.12,12,False
1936,118425.82,12,False
1937,109672.57,9,True
1943,74135.46,2,True
1944,111444.69,13,False
1948,88673.46,2,True
1954,70819.75,0,True
1961,92403.64,23,False
1964,82060.95,10,True
1966,80489.16,8,True
1973,98169.94,8,True
1975,98513.98,19,False
1976,72693.05,24,False
1978,99605.78,15,False
1981,85063.23,13,False
1984,62793.0,4,True
1985,84217.16,2,True
1986,88248.39,15,False
1989,74235.98,13,False
1994,75297.94,7,True
1997,85722.14,5,True
2003,79515.93,0,True
2004,89812.61,5,True
2006,87738.75,7,True
2008,91496.09,1,True
2012,78825.77,15,False
2021,80198.52,8,True
2022,82108.45,14,False
2024,68817.11,19,False
2031,86191.72,13,False
2037,80338.34,7,True
2044,80976.22,22,False
2046,94400.13,22,False
2049,119900.37,9,True
2053,100761.33,4,True
2066,64881.28,2,True
2074,81245.27,0,True
2083,62294.71,6,True
2094,71065.95,3,True
2095,79558.43,23,False
2096,97818.43,16,False
2100,102661.19,6,True
2106,89847.48,11,True
2108,87597.53,4,True
2118,107169.76,8,True
2125,88588.7,12,False
2135,89111.94,16,False
2139,99115.57,1,True
2141,102087.98,14,False
2142,60609.35,10,True
2147,69965.37,23,False
2152,74992.37,21,False
2154,96374.83,24,False
2159,98010.49,23,False
2162,85159.27,13,False
2169,106838.54,22,False
2172,77418.94,20,False
2173,110914.9,19,False
2181,98601.06,15,False
2186,56538.28,6,True
2187,92188.02,12,False
2190,65307.9,0,True
2191,71995.26,15,False
2195,85515.22,14,False
2198,92454.69,7,True
2202,98992.79,4,True
2203,68765.68,17,False
2210,86651.36,10,True
2220,75352.69,22,False
2227,49494.51,11,True
2231,80983.74,20,False
2234,73285.26,1,True
2242,79359.62,16,False
2253,107533.88,20,False
2258,79362.42,17,False
2259,72497.15,20,False
2264,89284.95,14,False
2270,70222.49,22,False
